,imdb_id,title,isAdult,year,minutes,genres,imdb_av_rating,imdb_num_votes,worldwide,domestic
1300,tt0350261,An Unfinished Life,0,2005,108.0,"Drama,Family,Romance",7.0,27899.0,18618284,8586392.0
1301,tt0351283,Madagascar,0,2005,86.0,"Adventure,Animation,Comedy",6.9,345195.0,542063846,193595521.0
1302,tt0351299,Blind Shaft,0,2003,92.0,"Crime,Drama",7.6,2335.0,65383,33272.0
1303,tt0351461,Noi the Albino,0,2003,93.0,Drama,7.3,8826.0,1317132,60555.0
1304,tt0351770,Son frère,0,2003,92.0,"Drama,Romance",6.9,1798.0,131195,22834.0
1305,tt0351977,Walking Tall,0,2004,86.0,"Action,Crime",6.3,67682.0,57223890,46437717.0
1306,tt0352248,Cinderella Man,0,2005,144.0,"Biography,Drama,History",8.0,169560.0,108539911,61649911.0
1307,tt0352277,De-Lovely,0,2004,125.0,"Biography,Drama,Music",6.6,10542.0,18611951,13456633.0
1308,tt0352332,The Far Side of the Moon,0,2003,105.0,Drama,7.3,1859.0,235926,235926.0
1309,tt0352343,Facing Windows,0,2003,106.0,"Drama,Romance",7.3,10305.0,15530077,543354.0
1310,tt0352994,Walk on Water,0,2004,103.0,"Drama,Mystery,Thriller",7.3,6388.0,4444265,2713932.0
1311,tt0353489,Ginger Snaps 2: Unleashed,0,2004,94.0,"Horror,Thriller",6.4,12153.0,80372,80372.0
1312,tt0353774,NASCAR: The IMAX Experience,0,2004,48.0,Sport,6.8,579.0,22248831,21583831.0
1313,tt0353818,Bulgarian Lovers,0,2003,101.0,"Comedy,Crime,Drama",5.7,835.0,161027,60712.0
1314,tt0353969,Memories of Murder,0,2003,131.0,"Action,Crime,Drama",8.1,111123.0,514579,15357.0
1315,tt0354356,5x2,0,2004,90.0,"Drama,Romance",6.6,8585.0,7444906,128752.0
1316,tt0354578,Fighting Words,0,2007,89.0,"Drama,Romance",4.7,196.0,35688,35688.0
1317,tt0354595,The Game of Their Lives,0,2005,101.0,"Drama,History,Sport",6.1,2987.0,388998,375750.0
1318,tt0354766,Never Die Alone,0,2004,88.0,"Action,Crime,Drama",5.7,5306.0,5923000,5645298.0
1319,tt0354855,Father and Sons,0,2003,95.0,Comedy,6.6,696.0,6935839,634968.0
1320,tt0354899,The Science of Sleep,0,2006,105.0,"Comedy,Drama,Fantasy",7.3,66350.0,15014015,4670644.0
1321,tt0355295,The Brothers Grimm,0,2005,118.0,"Action,Adventure,Comedy",5.9,112677.0,105316267,37916267.0
1322,tt0355702,Lords of Dogtown,0,2005,107.0,"Biography,Drama,Sport",7.1,50204.0,13411957,11273517.0
1323,tt0355954,Riding the Bullet,0,2004,98.0,"Horror,Thriller",5.2,8842.0,264505,134711.0
1324,tt0356150,EuroTrip,0,2004,92.0,Comedy,6.6,186416.0,20796847,17771387.0
1325,tt0356443,The Bridge of San Luis Rey,0,2004,120.0,"Drama,History,Romance",5.1,3240.0,1800141,49981.0
1326,tt0356470,A Cinderella Story,0,2004,95.0,"Comedy,Family,Romance",5.9,77077.0,70067909,51438175.0
1327,tt0356614,Foolproof,0,2003,94.0,"Action,Comedy,Crime",6.5,9175.0,779036,458990.0
1328,tt0356618,The Forgotten,0,2004,91.0,"Drama,Mystery,Sci-Fi",5.8,62496.0,117592831,67133509.0
1329,tt0356634,Garfield,0,2004,80.0,"Animation,Comedy,Family",5.0,74851.0,198964901,75369589.0
1330,tt0356680,The Family Stone,0,2005,103.0,"Comedy,Drama,Romance",6.3,58175.0,92283851,60062868.0
1331,tt0356721,I Heart Huckabees,0,2004,107.0,Comedy,6.6,61020.0,20072172,12785432.0
1332,tt0356910,Mr. & Mrs. Smith,0,2005,120.0,"Action,Comedy,Crime",6.5,429552.0,478207520,186336279.0
1333,tt0357054,The Last Shot,0,2004,93.0,"Comedy,Romance",5.6,4031.0,538526,464275.0
1334,tt0357110,The Ballad of Jack and Rose,0,2005,112.0,Drama,6.6,10749.0,916051,712275.0
